nc_date	num_articles
2009-01-01	1746
2009-01-02	2021
2009-01-03	2282
2009-01-04	2037
2009-01-05	2452
2009-01-06	2989
2009-01-07	3415
2009-01-08	3308
2009-01-09	2956
2009-01-10	2493
2009-01-11	2263
2009-01-12	2330
2009-01-13	2647
2009-01-14	2318
2009-01-15	2167
2009-01-16	2534
2009-01-17	2234
2009-01-18	2470
2009-01-19	3367
2009-01-20	2191
2009-01-21	2410
2009-01-22	2628
2009-01-23	2391
2009-01-24	2234
2009-01-25	2350
2009-01-26	3481
2009-01-27	2520
2009-01-28	2520
2009-01-29	2461
2009-01-30	2443
2009-01-31	2400
2009-02-01	2127
2009-02-02	2804
2009-02-03	2412
2009-02-04	2456
2009-02-05	2741
2009-02-06	2292
2009-02-07	2360
2009-02-08	2323
2009-02-09	3118
2009-02-10	2596
2009-02-11	2640
2009-02-12	2587
2009-02-13	3401
2009-02-14	2217
2009-02-15	2174
2009-02-16	3162
2009-02-17	3309
2009-02-18	2551
2009-02-19	2733
2009-02-20	2191
2009-02-21	6496
2009-02-22	2500
2009-02-23	5187
2009-02-24	2496
2009-02-25	2512
2009-02-26	2314
2009-02-27	3706
2009-02-28	2296
2009-03-01	2182
2009-03-02	2533
2009-03-03	2437
2009-03-04	3635
2009-03-05	5687
2009-03-06	4066
2009-03-07	2427
2009-03-08	2113
2009-03-09	3858
2009-03-10	2625
2009-03-11	2723
2009-03-12	3057
2009-03-13	2326
2009-03-14	2145
2009-03-15	2234
2009-03-16	3592
2009-03-17	2729
2009-03-18	2306
2009-03-19	2400
2009-03-20	2355
2009-03-21	2043
2009-03-22	2282
2009-03-23	2544
2009-03-24	2835
2009-03-25	2585
2009-03-26	3528
2009-03-27	2243
2009-03-28	3433
2009-03-29	4197
2009-03-30	3353
2009-03-31	3646
2009-04-01	4372
2009-04-02	5623
2009-04-03	1890
2009-04-04	1846
2009-04-05	2263
2009-04-06	4340
2009-04-07	2402
2009-04-08	2318
2009-04-09	2386
2009-04-10	2087
2009-04-11	1820
2009-04-12	2086
2009-04-13	2277
2009-04-14	2452
2009-04-15	2787
2009-04-16	8199
2009-04-17	2667
2009-04-18	1924
2009-04-19	2303
2009-04-20	4098
2009-04-21	2893
2009-04-22	2717
2009-04-23	2475
2009-04-24	2337
2009-04-25	1817
2009-04-26	2922
2009-04-27	3146
2009-04-28	2155
2009-04-29	2193
2009-04-30	2298
2009-05-01	2616
2009-05-02	1934
2009-05-03	2252
2009-05-04	2221
2009-05-05	2193
2009-05-06	2231
2009-05-07	2504
2009-05-08	2350
2009-05-09	1879
2009-05-10	1789
2009-05-11	2173
2009-05-12	2321
2009-05-13	2078
2009-05-14	2052
2009-05-15	1976
2009-05-16	1992
2009-05-17	2579
2009-05-18	2073
2009-05-19	2308
2009-05-20	2155
2009-05-21	2028
2009-05-22	2041
2009-05-23	2196
2009-05-24	1787
2009-05-25	1957
2009-05-26	2095
2009-05-27	2083
2009-05-28	2246
2009-05-29	1943
2009-05-30	1708
2009-05-31	1883
2009-06-01	1987
2009-06-02	1920
2009-06-03	1981
2009-06-04	1952
2009-06-05	1931
2009-06-06	1774
2009-06-07	1839
2009-06-08	2033
2009-06-09	2104
2009-06-10	2369
2009-06-11	2044
2009-06-12	2125
2009-06-13	2327
2009-06-14	2000
2009-06-15	2072
2009-06-16	2191
2009-06-17	2222
2009-06-18	2071
2009-06-19	2085
2009-06-20	2095
2009-06-21	1768
2009-06-22	1982
2009-06-23	2094
2009-06-24	2227
2009-06-25	2133
2009-06-26	1914
2009-06-27	1588
2009-06-28	1779
2009-06-29	2213
2009-06-30	1983
2009-07-01	2319
2009-07-02	1947
2009-07-03	1891
2009-07-04	1731
2009-07-05	1974
2009-07-06	2496
2009-07-07	3198
2009-07-08	2849
2009-07-09	3158
2009-07-10	2464
2009-07-11	1983
2009-07-12	3601
2009-07-13	2537
2009-07-14	2179
2009-07-15	2405
2009-07-16	3587
2009-07-17	2231
2009-07-18	3907
2009-07-19	3520
2009-07-20	3029
2009-07-21	3726
2009-07-22	3210
2009-07-23	3384
2009-07-24	2032
2009-07-25	1749
2009-07-26	1624
2009-07-27	2335
2009-07-28	2101
2009-07-29	2043
2009-07-30	2283
2009-07-31	2031
2009-08-01	1772
2009-08-02	1782
2009-08-03	2232
2009-08-04	2207
2009-08-05	2193
2009-08-06	2293
2009-08-07	1982
2009-08-08	1614
2009-08-09	1706
2009-08-10	3067
2009-08-11	2377
2009-08-12	2787
2009-08-13	2540
2009-08-14	2770
2009-08-15	3364
2009-08-16	2898
2009-08-17	2887
2009-08-18	2399
2009-08-19	2198
2009-08-20	2393
2009-08-21	1878
2009-08-22	2242
2009-08-23	1939
2009-08-24	1979
2009-08-25	2074
2009-08-26	2635
2009-08-27	3290
2009-08-28	2264
2009-08-29	1851
2009-08-30	2086
2009-08-31	2066
2009-09-01	1955
2009-09-02	1855
2009-09-03	1959
2009-09-04	1919
2009-09-05	1734
2009-09-06	1714
2009-09-07	2054
2009-09-08	1931
2009-09-09	1870
2009-09-10	1838
2009-09-11	1911
2009-09-12	1724
2009-09-13	1969
2009-09-14	2052
2009-09-15	2057
2009-09-16	1974
2009-09-17	1798
2009-09-18	1938
2009-09-19	1769
2009-09-20	1908
2009-09-21	2163
2009-09-22	1936
2009-09-23	2093
2009-09-24	2006
2009-09-25	1810
2009-09-26	1711
2009-09-27	1946
2009-09-28	2114
2009-09-29	2214
2009-09-30	2190
2009-10-01	1992
2009-10-02	1819
2009-10-03	1638
2009-10-04	1815
2009-10-05	2037
2009-10-06	1969
2009-10-07	2138
2009-10-08	2142
2009-10-09	1898
2009-10-10	1617
2009-10-11	1709
2009-10-12	2246
2009-10-13	1996
2009-10-14	2188
2009-10-15	2337
2009-10-16	2006
2009-10-17	2127
2009-10-18	1826
2009-10-19	2226
2009-10-20	1934
2009-10-21	1984
2009-10-22	2038
2009-10-23	2066
2009-10-24	1865
2009-10-25	1945
2009-10-26	2204
2009-10-27	2362
2009-10-28	2177
2009-10-29	2157
2009-10-30	1998
2009-10-31	1724
2009-11-01	1823
2009-11-02	2171
2009-11-03	2291
2009-11-04	2100
2009-11-05	2072
2009-11-06	2164
2009-11-07	1814
2009-11-08	2013
2009-11-09	2111
2009-11-10	2044
2009-11-11	2074
2009-11-12	2005
2009-11-13	1834
2009-11-14	1699
2009-11-15	1685
2009-11-16	1923
2009-11-17	2180
2009-11-18	2074
2009-11-19	2263
2009-11-20	2152
2009-11-21	1962
2009-11-22	1782
2009-11-23	2149
2009-11-24	2142
2009-11-25	2247
2009-11-26	2013
2009-11-27	1809
2009-11-28	1752
2009-11-29	1827
2009-11-30	2204
2009-12-01	2165
2009-12-02	1919
2009-12-03	2035
2009-12-04	2051
2009-12-05	1807
2009-12-06	1791
2009-12-07	1974
2009-12-08	2112
2009-12-09	2080
2009-12-10	2024
2009-12-11	1845
2009-12-12	1859
2009-12-13	1835
2009-12-14	2087
2009-12-15	2149
2009-12-16	2515
2009-12-17	2496
2009-12-18	1853
2009-12-19	1952
2009-12-20	2333
2009-12-21	2467
2009-12-22	1833
2009-12-23	1876
2009-12-24	1736
2009-12-25	1575
2009-12-26	1575
2009-12-27	1829
2009-12-28	1732
2009-12-29	1800
2009-12-30	1778
2009-12-31	1519
2010-01-01	1490
2010-01-02	1896
2010-01-03	1904
2010-01-04	2152
2010-01-05	2105
2010-01-06	2129
2010-01-07	2181
2010-01-08	2009
2010-01-09	1814
2010-01-10	2094
2010-01-11	1958
2010-01-12	2126
2010-01-13	2181
2010-01-14	2457
2010-01-15	2031
2010-01-16	1892
2010-01-17	1930
2010-01-18	2180
2010-01-19	2462
2010-01-20	2374
2010-01-21	2935
2010-01-22	2241
2010-01-23	1888
2010-01-24	1912
2010-01-25	2166
2010-01-26	2107
2010-01-27	2100
2010-01-28	2012
2010-01-29	2173
2010-01-30	1842
2010-01-31	1744
2010-02-01	2039
2010-02-02	2159
2010-02-03	2379
2010-02-04	2937
2010-02-05	2419
2010-02-06	1858
2010-02-07	1920
2010-02-08	2071
2010-02-09	2199
2010-02-10	2130
2010-02-11	2118
2010-02-12	2155
2010-02-13	1806
2010-02-14	1829
2010-02-15	2074
2010-02-16	2198
2010-02-17	1984
2010-02-18	2092
