as_reg_date	n_creations
2009-01-02	1277
2009-01-03	1498
2009-01-04	1274
2009-01-05	1572
2009-01-06	1982
2009-01-07	2365
2009-01-08	2313
2009-01-09	1872
2009-01-10	1687
2009-01-11	1392
2009-01-12	1272
2009-01-14	1260
2009-01-15	1172
2009-01-16	1543
2009-01-17	1377
2009-01-18	1631
2009-01-19	2325
2009-01-23	1222
2009-01-24	1368
2009-01-26	2280
2009-01-28	1363
2009-01-30	1335
2009-01-31	1486
2009-02-01	1292
2009-02-02	1744
2009-02-03	1241
2009-02-04	1314
2009-02-05	1571
2009-02-06	1155
2009-02-07	1469
2009-02-08	1533
2009-02-09	2004
2009-02-13	2302
2009-02-14	1345
2009-02-15	1315
2009-02-16	2042
2009-02-17	2063
2009-02-19	1454
2009-02-21	1500
2009-02-22	1329
2009-02-23	4011
2009-02-24	1272
2009-02-25	1256
2009-02-26	1156
2009-02-27	2583
2009-02-28	1503
2009-03-01	1308
2009-03-02	1342
2009-03-03	1205
2009-03-04	2360
2009-03-05	4375
2009-03-06	2932
2009-03-07	1510
2009-03-09	2737
2009-03-10	1413
2009-03-12	1857
2009-03-13	1293
2009-03-14	1314
2009-03-15	1393
2009-03-16	2532
2009-03-17	1670
2009-03-21	1258
2009-03-22	1454
2009-03-23	1495
2009-03-24	1654
2009-03-26	2560
2009-03-27	1267
2009-03-28	2712
2009-03-29	3461
2009-03-30	2380
2009-03-31	2575
2009-04-01	3361
2009-04-02	4662
2009-04-03	1034
2009-04-04	1051
2009-04-05	1553
2009-04-06	3418
2009-04-07	1343
2009-04-08	1328
2009-04-09	1539
2009-04-10	1321
2009-04-11	1111
2009-04-12	1451
2009-04-15	1767
2009-04-16	6631
2009-04-17	1762
2009-04-18	1288
2009-04-19	1650
2009-04-20	3149
2009-04-22	1632
2009-04-24	1513
2009-04-25	1138
2009-04-26	2251
2009-04-27	2142
2009-04-28	1202
2009-04-29	1225
2009-04-30	1425
2009-05-01	1582
2009-05-02	1153
2009-05-04	1280
2009-05-05	1234
2009-05-07	1666
2009-05-08	1551
2009-05-09	1132
2009-05-11	1227
2009-05-12	1313
2009-05-15	1204
2009-05-16	1301
2009-05-17	1825
2009-05-18	1168
2009-05-19	1288
2009-05-21	1228
2009-05-25	1235
2009-05-26	1262
2009-05-27	1207
2009-05-28	1329
2009-05-29	1173
2009-05-30	1112
2009-05-31	1273
2009-06-01	1181
2009-06-02	1107
2009-06-06	1122
2009-06-07	1207
2009-06-09	1235
2009-06-10	1445
2009-06-11	1230
2009-06-12	1315
2009-06-13	1725
2009-06-14	1350
2009-06-15	1258
2009-06-18	1233
2009-06-19	1287
2009-06-20	1445
2009-06-22	1206
2009-06-23	1254
2009-06-24	1363
2009-06-25	1371
2009-06-27	1040
2009-06-28	1245
2009-06-29	1483
2009-06-30	1258
2009-07-01	1585
2009-07-04	1139
2009-07-07	2211
2009-07-08	1865
2009-07-09	2312
2009-07-11	1453
2009-07-12	2791
2009-07-13	1524
2009-07-15	1550
2009-07-16	2642
2009-07-17	1397
2009-07-18	2035
2009-07-19	2449
2009-07-21	1893
2009-07-22	1278
2009-07-23	1257
2009-07-24	1111
2009-07-25	1114
2009-07-26	1061
2009-07-28	1185
2009-07-29	1145
2009-07-30	1426
2009-07-31	1204
2009-08-01	1134
2009-08-03	1335
2009-08-04	1311
2009-08-06	1466
2009-08-07	1216
2009-08-08	1058
2009-08-09	1089
2009-08-10	2196
2009-08-11	1476
2009-08-13	1717
2009-08-14	2003
2009-08-16	2326
2009-08-17	2011
2009-08-18	1518
2009-08-19	1396
2009-08-20	1562
2009-08-21	1096
2009-08-22	1646
2009-08-23	1278
2009-08-24	1164
2009-08-25	1199
2009-08-26	1696
