mim_date	mim_num_moves_user	mim_num_moves_draft
2009-01-01	12	11
2009-01-02	14	7
2009-01-03	11	1
2009-01-04	10	1
2009-01-05	18	7
2009-01-06	10	3
2009-01-07	7	10
2009-01-08	13	4
2009-01-09	9	1
2009-01-10	13	0
2009-01-11	9	0
2009-01-12	17	6
2009-01-13	10	2
2009-01-14	12	6
2009-01-15	10	4
2009-01-16	5	7
2009-01-17	20	1
2009-01-18	9	3
2009-01-19	10	3
2009-01-20	16	4
2009-01-21	18	7
2009-01-22	38	1
2009-01-23	14	7
2009-01-24	17	1
2009-01-25	8	6
2009-01-26	16	1
2009-01-27	12	2
2009-01-28	37	7
2009-01-29	35	4
2009-01-30	12	4
2009-01-31	5	1
2009-02-01	12	3
2009-02-02	17	3
2009-02-03	12	6
2009-02-04	6	1
2009-02-05	11	0
2009-02-06	21	5
2009-02-07	19	1
2009-02-08	7	2
2009-02-09	11	0
2009-02-10	10	8
2009-02-11	13	8
2009-02-12	22	8
2009-02-13	17	3
2009-02-14	8	3
2009-02-15	11	5
2009-02-16	7	6
2009-02-17	13	3
2009-02-18	11	3
2009-02-19	20	2
2009-02-20	15	1
2009-02-21	16	4
2009-02-22	7	1
2009-02-23	13	8
2009-02-24	21	6
2009-02-25	10	5
2009-02-26	7	5
2009-02-27	17	4
2009-02-28	21	2
2009-03-01	12	2
2009-03-02	12	8
2009-03-03	28	4
2009-03-04	22	3
2009-03-05	32	11
2009-03-06	24	2
2009-03-07	10	3
2009-03-08	40	4
2009-03-09	19	1
2009-03-10	19	5
2009-03-11	17	2
2009-03-12	11	5
2009-03-13	9	2
2009-03-14	17	1
2009-03-15	15	1
2009-03-16	16	3
2009-03-17	13	3
2009-03-18	11	5
2009-03-19	19	0
2009-03-20	9	2
2009-03-21	12	3
2009-03-22	12	3
2009-03-23	12	7
2009-03-24	10	1
2009-03-25	9	1
2009-03-26	13	2
2009-03-27	10	3
2009-03-28	8	2
2009-03-29	14	1
2009-03-30	16	2
2009-03-31	22	12
2009-04-01	15	5
2009-04-02	28	3
2009-04-03	30	2
2009-04-04	11	10
2009-04-05	8	2
2009-04-06	18	5
2009-04-07	28	8
2009-04-08	18	5
2009-04-09	16	4
2009-04-10	14	3
2009-04-11	6	3
2009-04-12	8	2
2009-04-13	18	2
2009-04-14	17	1
2009-04-15	22	2
2009-04-16	17	4
2009-04-17	14	2
2009-04-18	5	4
2009-04-19	11	3
2009-04-20	11	1
2009-04-21	5	2
2009-04-22	14	2
2009-04-23	12	9
2009-04-24	8	4
2009-04-25	6	1
2009-04-26	19	3
2009-04-27	13	3
2009-04-28	9	1
2009-04-29	8	3
2009-04-30	13	1
2009-05-01	10	1
2009-05-02	8	5
2009-05-03	22	1
2009-05-04	15	1
2009-05-05	17	3
2009-05-06	11	5
2009-05-07	14	3
2009-05-08	12	3
2009-05-09	10	6
2009-05-10	14	10
2009-05-11	10	4
2009-05-12	20	3
2009-05-13	20	2
2009-05-14	19	2
2009-05-15	14	2
2009-05-16	17	2
2009-05-17	15	3
2009-05-18	21	4
2009-05-19	20	5
2009-05-20	16	2
2009-05-21	17	2
2009-05-22	14	1
2009-05-23	11	2
2009-05-24	13	0
2009-05-25	49	4
2009-05-26	17	0
2009-05-27	25	2
2009-05-28	17	1
2009-05-29	17	3
2009-05-30	17	4
2009-05-31	13	1
2009-06-01	23	0
2009-06-02	24	5
2009-06-03	26	1
2009-06-04	14	1
2009-06-05	13	5
2009-06-06	11	1
2009-06-07	10	0
2009-06-08	21	1
2009-06-09	33	2
2009-06-10	30	4
2009-06-11	20	0
2009-06-12	9	2
2009-06-13	16	3
2009-06-14	20	0
2009-06-15	36	2
2009-06-16	15	0
2009-06-17	13	0
2009-06-18	26	2
2009-06-19	23	0
2009-06-20	35	1
2009-06-21	22	1
2009-06-22	20	0
2009-06-23	21	7
2009-06-24	25	1
2009-06-25	20	0
2009-06-26	27	0
2009-06-27	22	2
2009-06-28	18	4
2009-06-29	26	3
2009-06-30	25	1
2009-07-01	24	1
2009-07-02	12	4
2009-07-03	10	7
2009-07-04	14	4
2009-07-05	13	0
2009-07-06	36	1
2009-07-07	38	0
2009-07-08	26	0
2009-07-09	15	3
2009-07-10	27	0
2009-07-11	10	0
2009-07-12	11	2
2009-07-13	17	1
2009-07-14	12	3
2009-07-15	23	1
2009-07-16	22	1
2009-07-17	23	1
2009-07-18	17	7
2009-07-19	23	3
2009-07-20	28	1
2009-07-21	23	0
2009-07-22	25	0
2009-07-23	22	0
2009-07-24	18	1
2009-07-25	16	1
2009-07-26	15	0
2009-07-27	29	0
2009-07-28	20	1
2009-07-29	18	1
2009-07-30	26	5
2009-07-31	20	0
2009-08-01	19	1
2009-08-02	21	17
2009-08-03	19	5
2009-08-04	19	2
2009-08-05	23	5
2009-08-06	22	3
2009-08-07	17	3
2009-08-08	21	1
2009-08-09	35	1
2009-08-10	29	5
2009-08-11	35	3
2009-08-12	18	2
