na_date	na_newusers	na_autocreate	na_byemail	na_create	na_create2
2005-09-08	1649	0	0	0	0
2005-09-09	1644	0	0	0	0
2005-09-10	1585	0	0	0	0
2005-09-11	1674	0	0	0	0
2005-09-12	1818	0	0	0	0
2005-09-13	1896	0	0	0	0
2005-09-14	1880	0	0	0	0
2005-09-15	1841	0	0	0	0
2005-09-16	1514	0	0	0	0
2005-09-17	1390	0	0	0	0
2005-09-18	1627	0	0	0	0
2005-09-19	1924	0	0	0	0
2005-09-20	2157	0	0	0	0
2005-09-21	2161	0	0	0	0
2005-09-22	2121	0	0	0	0
2005-09-23	1982	0	0	0	0
2005-09-24	1644	0	0	0	0
2005-09-25	1935	0	0	0	0
2005-09-26	2525	0	0	0	0
2005-09-27	2283	0	0	0	0
2005-09-28	2271	0	0	0	0
2005-09-29	2416	0	0	0	0
2005-09-30	2132	0	0	0	0
2005-10-01	1692	0	0	0	0
2005-10-02	2047	0	0	0	0
2005-10-03	2356	0	0	0	0
2005-10-04	2476	0	0	0	0
2005-10-05	2676	0	0	0	0
2005-10-06	2414	0	0	0	0
2005-10-07	2469	0	0	0	0
2005-10-08	2022	0	0	0	0
2005-10-09	1940	0	0	0	0
2005-10-10	2579	0	0	0	0
2005-10-11	2753	0	0	0	0
2005-10-12	2916	0	0	0	0
2005-10-13	3016	0	0	0	0
2005-10-14	2389	0	0	0	0
2005-10-15	1868	0	0	0	0
2005-10-16	2210	0	0	0	0
2005-10-17	2622	0	0	0	0
2005-10-18	2768	0	0	0	0
2005-10-19	2905	0	0	0	0
2005-10-20	2629	0	0	0	0
2005-10-21	2436	0	0	0	0
2005-10-22	2363	0	0	0	0
2005-10-23	2379	0	0	0	0
2005-10-24	2557	0	0	0	0
2005-10-25	2630	0	0	0	0
2005-10-26	2680	0	0	0	0
2005-10-27	2467	0	0	0	0
2005-10-28	2268	0	0	0	0
2005-10-29	2098	0	0	0	0
2005-10-30	2197	0	0	0	0
2005-10-31	2529	0	0	0	0
2005-11-01	2601	0	0	0	0
2005-11-02	2834	0	0	0	0
2005-11-03	2658	0	0	0	0
2005-11-04	2899	0	0	0	0
2005-11-05	2241	0	0	0	0
2005-11-06	2515	0	0	0	0
2005-11-07	2820	0	0	0	0
2005-11-08	3047	0	0	0	0
2005-11-09	3025	0	0	0	0
2005-11-10	2903	0	0	0	0
2005-11-11	2514	0	0	0	0
2005-11-12	2131	0	0	0	0
2005-11-13	2360	0	0	0	0
2005-11-14	2844	0	0	0	0
2005-11-15	3134	0	0	0	0
2005-11-16	2770	0	0	0	0
2005-11-17	2867	0	0	0	0
2005-11-18	2649	0	0	0	0
2005-11-19	2336	0	0	0	0
2005-11-20	2719	0	0	0	0
2005-11-21	2900	0	0	0	0
2005-11-22	2456	0	0	0	0
2005-11-23	2558	0	0	0	0
2005-11-24	2297	0	0	0	0
2005-11-25	2252	0	0	0	0
2005-11-26	2232	0	0	0	0
2005-11-27	2670	0	0	0	0
2005-11-28	3227	0	0	0	0
2005-11-29	3361	0	0	0	0
2005-11-30	3293	0	0	0	0
2005-12-01	3329	0	0	0	0
2005-12-02	2938	0	0	0	0
2005-12-03	2349	0	0	0	0
2005-12-04	2826	0	0	0	0
2005-12-05	4124	0	0	0	0
2005-12-06	6412	0	0	0	0
2005-12-07	5967	0	0	0	0
2005-12-08	5461	0	0	0	0
2005-12-09	4854	0	0	0	0
2005-12-10	3596	0	0	0	0
2005-12-11	3911	0	0	0	0
2005-12-12	5345	0	0	0	0
2005-12-13	5428	0	0	0	0
2005-12-14	4506	0	0	0	0
2005-12-15	5362	0	0	0	0
2005-12-16	4315	0	0	0	0
2005-12-17	3579	0	0	0	0
2005-12-18	3441	0	0	0	0
2005-12-19	3869	0	0	0	0
2005-12-20	3872	0	0	0	0
2005-12-21	3425	0	0	0	0
2005-12-22	3121	0	0	0	0
2005-12-23	2858	0	0	0	0
2005-12-24	2594	0	0	0	0
2005-12-25	1956	0	0	0	0
2005-12-26	2475	0	0	0	0
2005-12-27	2970	0	0	0	0
2005-12-28	3234	0	0	0	0
2005-12-29	3203	0	0	0	0
2005-12-30	3051	0	0	0	0
2005-12-31	2537	0	0	0	0
2006-01-01	2399	0	0	0	0
2006-01-02	3312	0	0	0	0
2006-01-03	3531	0	0	0	0
2006-01-04	3442	0	0	0	0
2006-01-05	3585	0	0	0	0
2006-01-06	3454	0	0	0	0
2006-01-07	2538	0	0	0	0
2006-01-08	3218	0	0	0	0
2006-01-09	3418	0	0	0	0
2006-01-10	4259	0	0	0	0
2006-01-11	4387	0	0	0	0
2006-01-12	4165	0	0	0	0
2006-01-13	3897	0	0	0	0
2006-01-14	3513	0	0	0	0
2006-01-15	3547	0	0	0	0
2006-01-16	4393	0	0	0	0
2006-01-17	4825	0	0	0	0
2006-01-18	4839	0	0	0	0
2006-01-19	4628	0	0	0	0
2006-01-20	4466	0	0	0	0
2006-01-21	3709	0	0	0	0
2006-01-22	3989	0	0	0	0
2006-01-23	4519	0	0	0	0
2006-01-24	4836	0	0	0	0
2006-01-25	4824	0	0	0	0
