date	num_patrol_actions
2012-10-01	1610
2012-10-02	1179
2012-10-03	996
2012-10-04	1107
2012-10-05	917
2012-10-06	750
2012-10-07	710
2012-10-08	523
2012-10-09	710
2012-10-10	1439
2012-10-11	1015
2012-10-12	576
2012-10-13	627
2012-10-14	558
2012-10-15	560
2012-10-16	497
2012-10-17	492
2012-10-18	564
2012-10-19	542
2012-10-20	420
2012-10-21	360
2012-10-22	510
2012-10-23	415
2012-10-24	325
2012-10-25	518
2012-10-26	599
2012-10-27	409
2012-10-28	454
2012-10-29	508
2012-10-30	619
2012-10-31	512
2012-11-01	575
2012-11-02	770
2012-11-03	545
2012-11-04	530
2012-11-05	357
2012-11-06	934
2012-11-07	428
2012-11-08	468
2012-11-09	472
2012-11-10	302
2012-11-11	390
2012-11-12	408
2012-11-13	347
2012-11-14	464
2012-11-15	555
2012-11-16	615
2012-11-17	473
2012-11-18	433
2012-11-19	562
2012-11-20	330
2012-11-21	519
2012-11-22	480
2012-11-23	294
2012-11-24	654
2012-11-25	399
2012-11-26	570
2012-11-27	433
2012-11-28	643
2012-11-29	512
2012-11-30	551
2012-12-01	572
2012-12-02	468
2012-12-03	640
2012-12-04	482
2012-12-05	299
2012-12-06	424
2012-12-07	628
2012-12-08	776
2012-12-09	666
2012-12-10	427
2012-12-11	473
2012-12-12	408
2012-12-13	525
2012-12-14	483
2012-12-15	537
2012-12-16	407
2012-12-17	393
2012-12-18	352
2012-12-19	491
2012-12-20	357
2012-12-21	491
2012-12-22	664
2012-12-23	436
2012-12-24	459
2012-12-25	399
2012-12-26	407
2012-12-27	533
2012-12-28	1005
2012-12-29	897
2012-12-30	624
2012-12-31	659
2013-01-01	480
2013-01-02	322
2013-01-03	371
2013-01-04	425
2013-01-05	591
2013-01-06	528
2013-01-07	626
2013-01-08	776
2013-01-09	815
2013-01-10	825
2013-01-11	509
2013-01-12	796
2013-01-13	717
2013-01-14	1226
2013-01-15	851
2013-01-16	783
2013-01-17	923
2013-01-18	592
2013-01-19	771
2013-01-20	893
2013-01-21	877
2013-01-22	726
2013-01-23	756
2013-01-24	354
2013-01-25	320
2013-01-26	268
2013-01-27	232
2013-01-28	344
2013-01-29	315
2013-01-30	277
2013-01-31	341
2013-02-01	305
2013-02-02	356
2013-02-03	386
2013-02-04	308
2013-02-05	279
2013-02-06	280
2013-02-07	369
2013-02-08	382
2013-02-09	357
2013-02-10	336
2013-02-11	312
2013-02-12	309
2013-02-13	365
2013-02-14	259
2013-02-15	329
2013-02-16	429
2013-02-17	329
2013-02-18	342
2013-02-19	423
2013-02-20	336
2013-02-21	448
2013-02-22	611
2013-02-23	411
2013-02-24	539
2013-02-25	295
2013-02-26	386
2013-02-27	329
2013-02-28	344
2013-03-01	311
2013-03-02	503
2013-03-03	389
2013-03-04	498
2013-03-05	391
2013-03-06	784
2013-03-07	283
2013-03-08	205
2013-03-09	447
2013-03-10	598
2013-03-11	441
2013-03-12	306
2013-03-13	461
2013-03-14	337
2013-03-15	346
2013-03-16	499
2013-03-17	255
2013-03-18	613
2013-03-19	262
2013-03-20	300
2013-03-21	873
2013-03-22	389
2013-03-23	366
2013-03-24	336
2013-03-25	774
2013-03-26	1258
2013-03-27	1622
2013-03-28	1047
2013-03-29	606
2013-03-30	651
2013-03-31	716
2013-04-01	480
2013-04-02	364
2013-04-03	446
2013-04-04	500
2013-04-05	498
2013-04-06	571
2013-04-07	785
2013-04-08	558
2013-04-09	558
2013-04-10	420
2013-04-11	432
2013-04-12	360
2013-04-13	300
2013-04-14	387
2013-04-15	277
2013-04-16	562
2013-04-17	397
2013-04-18	282
2013-04-19	299
2013-04-20	226
2013-04-21	229
2013-04-22	385
2013-04-23	442
2013-04-24	294
2013-04-25	314
2013-04-26	360
2013-04-27	304
2013-04-28	400
2013-04-29	353
2013-04-30	316
2013-05-01	389
2013-05-02	339
2013-05-03	603
2013-05-04	307
2013-05-05	510
2013-05-06	418
2013-05-07	469
2013-05-08	315
2013-05-09	398
2013-05-10	484
2013-05-11	324
2013-05-12	287
2013-05-13	513
2013-05-14	336
2013-05-15	412
2013-05-16	537
2013-05-17	511
2013-05-18	373
2013-05-19	538
2013-05-20	534
2013-05-21	461
2013-05-22	839
2013-05-23	669
2013-05-24	443
2013-05-25	457
2013-05-26	621
2013-05-27	484
2013-05-28	614
2013-05-29	820
2013-05-30	815
2013-05-31	674
2013-06-01	772
2013-06-02	680
2013-06-03	412
2013-06-04	401
2013-06-05	581
2013-06-06	597
2013-06-07	294
2013-06-08	271
2013-06-09	456
2013-06-10	584
2013-06-11	507
2013-06-12	416
2013-06-13	539
2013-06-14	356
2013-06-15	335
2013-06-16	695
2013-06-17	336
2013-06-18	1026
2013-06-19	821
2013-06-20	402
2013-06-21	548
2013-06-22	559
2013-06-23	713
2013-06-24	531
2013-06-25	504
2013-06-26	856
2013-06-27	852
2013-06-28	576
2013-06-29	602
2013-06-30	447
2013-07-01	738
2013-07-02	742
2013-07-03	510
2013-07-04	485
2013-07-05	507
2013-07-06	404
2013-07-07	534
2013-07-08	594
2013-07-09	885
2013-07-10	717
2013-07-11	558
2013-07-12	741
2013-07-13	820
2013-07-14	1401
2013-07-15	908
2013-07-16	1150
2013-07-17	1054
2013-07-18	925
2013-07-19	1029
2013-07-20	689
2013-07-21	616
2013-07-22	883
2013-07-23	1193
2013-07-24	651
2013-07-25	685
2013-07-26	911
2013-07-27	579
2013-07-28	491
2013-07-29	680
2013-07-30	669
2013-07-31	675
2013-08-01	626
2013-08-02	687
2013-08-03	651
2013-08-04	521
2013-08-05	514
2013-08-06	1040
2013-08-07	688
2013-08-08	430
2013-08-09	530
2013-08-10	584
2013-08-11	822
2013-08-12	546
2013-08-13	535
2013-08-14	607
2013-08-15	640
2013-08-16	702
2013-08-17	875
2013-08-18	764
2013-08-19	509
2013-08-20	733
2013-08-21	774
2013-08-22	648
2013-08-23	554
2013-08-24	804
2013-08-25	781
2013-08-26	524
2013-08-27	578
2013-08-28	742
2013-08-29	718
2013-08-30	800
2013-08-31	611
2013-09-01	829
2013-09-02	595
2013-09-03	500
2013-09-04	429
2013-09-05	384
2013-09-06	544
2013-09-07	675
2013-09-08	922
2013-09-09	469
2013-09-10	436
2013-09-11	676
2013-09-12	807
2013-09-13	727
2013-09-14	388
2013-09-15	418
2013-09-16	511
2013-09-17	444
2013-09-18	367
2013-09-19	440
2013-09-20	453
2013-09-21	759
2013-09-22	463
2013-09-23	520
2013-09-24	629
2013-09-25	594
2013-09-26	584
2013-09-27	652
2013-09-28	534
2013-09-29	604
2013-09-30	828
2013-10-01	431
2013-10-02	392
2013-10-03	545
2013-10-04	1128
2013-10-05	360
2013-10-06	822
2013-10-07	943
2013-10-08	717
2013-10-09	634
2013-10-10	346
2013-10-11	650
2013-10-12	563
2013-10-13	489
2013-10-14	733
2013-10-15	518
2013-10-16	460
2013-10-17	508
2013-10-18	648
2013-10-19	553
2013-10-20	664
2013-10-21	777
2013-10-22	641
2013-10-23	836
2013-10-24	673
2013-10-25	436
2013-10-26	560
2013-10-27	1019
2013-10-28	962
2013-10-29	811
2013-10-30	555
2013-10-31	466
2013-11-01	615
2013-11-02	483
2013-11-03	448
2013-11-04	673
2013-11-05	470
2013-11-06	502
2013-11-07	604
2013-11-08	668
2013-11-09	397
2013-11-10	611
2013-11-11	739
2013-11-12	825
2013-11-13	779
2013-11-14	1048
2013-11-15	767
2013-11-16	442
2013-11-17	506
2013-11-18	570
2013-11-19	505
2013-11-20	630
2013-11-21	423
2013-11-22	508
2013-11-23	475
2013-11-24	567
2013-11-25	673
2013-11-26	523
2013-11-27	557
2013-11-28	450
2013-11-29	703
2013-11-30	536
2013-12-01	501
2013-12-02	959
2013-12-03	861
2013-12-04	925
2013-12-05	571
2013-12-06	439
2013-12-07	1122
2013-12-08	656
2013-12-09	680
2013-12-10	691
2013-12-11	805
2013-12-12	927
2013-12-13	701
2013-12-14	700
2013-12-15	785
2013-12-16	807
2013-12-17	768
2013-12-18	606
2013-12-19	802
2013-12-20	600
2013-12-21	738
2013-12-22	662
2013-12-23	798
2013-12-24	691
2013-12-25	1201
2013-12-26	747
2013-12-27	759
2013-12-28	864
2013-12-29	965
2013-12-30	849
2013-12-31	818
2014-01-01	517
2014-01-02	598
2014-01-03	650
2014-01-04	712
2014-01-05	618
2014-01-06	588
2014-01-07	665
2014-01-08	555
2014-01-09	601
2014-01-10	492
2014-01-11	637
2014-01-12	916
2014-01-13	819
2014-01-14	903
2014-01-15	623
2014-01-16	1047
2014-01-17	681
2014-01-18	509
2014-01-19	564
2014-01-20	594
2014-01-21	629
2014-01-22	684
2014-01-23	773
2014-01-24	686
2014-01-25	716
2014-01-26	625
2014-01-27	761
2014-01-28	635
2014-01-29	935
2014-01-30	997
2014-01-31	1416
