pat_date	pat_userid	pat_num_actions
2012-10-01	8834	45
2012-10-01	128326	2
2012-10-01	171330	3
2012-10-01	205121	11
2012-10-01	207616	949
2012-10-01	262675	2
2012-10-01	283225	3
2012-10-01	609555	2
2012-10-01	920547	2
2012-10-01	1616157	2
2012-10-01	1992122	1
2012-10-01	2051880	7
2012-10-01	2512606	29
2012-10-01	2539334	2
2012-10-01	3012956	2
2012-10-01	3238464	21
2012-10-01	3855926	52
2012-10-01	3965251	5
2012-10-01	4205312	3
2012-10-01	4738001	140
2012-10-01	4850051	4
2012-10-01	6362721	2
2012-10-01	6804626	87
2012-10-01	7219979	20
2012-10-01	7304264	3
2012-10-01	8786164	1
2012-10-01	8806805	18
2012-10-01	9109237	1
2012-10-01	9951654	3
2012-10-01	10534893	14
2012-10-01	11886648	10
2012-10-01	12529706	1
2012-10-01	12711397	1
2012-10-01	13224898	1
2012-10-01	13589947	2
2012-10-01	13947331	3
2012-10-01	15425179	2
2012-10-01	15652108	2
2012-10-01	16170669	1
2012-10-01	16255965	79
2012-10-01	16349307	4
2012-10-01	16396275	1
2012-10-01	16787888	82
2012-10-01	16847332	12
2012-10-01	17315724	3
2012-10-02	8834	20
2012-10-02	52282	25
2012-10-02	59944	3
2012-10-02	171330	1
2012-10-02	184162	2
2012-10-02	207616	925
2012-10-02	262675	3
2012-10-02	283225	1
2012-10-02	297315	3
2012-10-02	398051	3
2012-10-02	754527	6
2012-10-02	1086679	1
2012-10-02	1219841	7
2012-10-02	1904640	2
2012-10-02	2512606	2
2012-10-02	3012956	9
2012-10-02	3080493	4
2012-10-02	3238464	5
2012-10-02	3632083	4
2012-10-02	3729738	1
2012-10-02	3855926	8
2012-10-02	3863102	1
2012-10-02	4850051	2
2012-10-02	4919722	1
2012-10-02	5311630	53
2012-10-02	6707174	2
2012-10-02	8806805	8
2012-10-02	9109237	5
2012-10-02	9951654	14
2012-10-02	10534893	3
2012-10-02	12529706	1
2012-10-02	12751068	5
2012-10-02	14159121	8
2012-10-02	14813116	2
2012-10-02	15822590	14
2012-10-02	16170669	8
2012-10-02	16608544	41
2012-10-02	16787888	40
2012-10-02	17441670	4
