date	num_patrollers
2012-10-01	75
2012-10-02	71
2012-10-03	71
2012-10-04	76
2012-10-05	77
2012-10-06	67
2012-10-07	60
2012-10-08	69
2012-10-09	75
2012-10-10	71
2012-10-11	76
2012-10-12	63
2012-10-13	45
2012-10-14	60
2012-10-15	66
2012-10-16	64
2012-10-17	68
2012-10-18	64
2012-10-19	61
2012-10-20	54
2012-10-21	58
2012-10-22	75
2012-10-23	64
2012-10-24	64
2012-10-25	67
2012-10-26	59
2012-10-27	56
2012-10-28	63
2012-10-29	73
2012-10-30	61
2012-10-31	63
2012-11-01	48
2012-11-02	62
2012-11-03	57
2012-11-04	52
2012-11-05	48
2012-11-06	47
2012-11-07	50
2012-11-08	60
2012-11-09	64
2012-11-10	56
2012-11-11	54
2012-11-12	66
2012-11-13	55
2012-11-14	59
2012-11-15	65
2012-11-16	58
2012-11-17	55
2012-11-18	59
2012-11-19	62
2012-11-20	67
2012-11-21	44
2012-11-22	54
2012-11-23	69
2012-11-24	59
2012-11-25	62
2012-11-26	61
2012-11-27	65
2012-11-28	50
2012-11-29	63
2012-11-30	61
2012-12-01	56
2012-12-02	49
2012-12-03	65
2012-12-04	63
2012-12-05	58
2012-12-06	60
2012-12-07	68
2012-12-08	65
2012-12-09	77
2012-12-10	60
2012-12-11	58
2012-12-12	62
2012-12-13	56
2012-12-14	62
2012-12-15	64
2012-12-16	59
2012-12-17	65
2012-12-18	63
2012-12-19	62
2012-12-20	64
2012-12-21	61
2012-12-22	53
2012-12-23	48
2012-12-24	59
2012-12-25	42
2012-12-26	58
2012-12-27	54
2012-12-28	67
2012-12-29	56
2012-12-30	57
2012-12-31	61
2013-01-01	58
2013-01-02	60
2013-01-03	54
2013-01-04	74
2013-01-05	71
2013-01-06	62
2013-01-07	75
2013-01-08	77
2013-01-09	60
2013-01-10	66
2013-01-11	64
2013-01-12	58
2013-01-13	66
2013-01-14	68
2013-01-15	60
2013-01-16	80
2013-01-17	66
2013-01-18	66
2013-01-19	61
2013-01-20	57
2013-01-21	58
2013-01-22	58
2013-01-23	60
2013-01-24	70
2013-01-25	75
2013-01-26	52
2013-01-27	59
2013-01-28	64
2013-01-29	65
2013-01-30	58
2013-01-31	62
2013-02-01	60
2013-02-02	55
2013-02-03	56
2013-02-04	48
2013-02-05	52
2013-02-06	57
2013-02-07	61
2013-02-08	64
2013-02-09	50
2013-02-10	56
2013-02-11	65
2013-02-12	50
2013-02-13	51
2013-02-14	61
2013-02-15	67
2013-02-16	52
2013-02-17	56
2013-02-18	58
2013-02-19	64
2013-02-20	55
2013-02-21	53
2013-02-22	59
2013-02-23	59
2013-02-24	62
2013-02-25	69
2013-02-26	64
2013-02-27	59
2013-02-28	54
2013-03-01	49
2013-03-02	50
2013-03-03	47
2013-03-04	60
2013-03-05	63
2013-03-06	69
2013-03-07	55
2013-03-08	49
2013-03-09	53
2013-03-10	39
2013-03-11	52
2013-03-12	52
2013-03-13	50
2013-03-14	49
2013-03-15	51
2013-03-16	47
2013-03-17	49
2013-03-18	63
2013-03-19	56
2013-03-20	64
2013-03-21	62
2013-03-22	51
2013-03-23	51
2013-03-24	42
2013-03-25	55
2013-03-26	60
2013-03-27	54
2013-03-28	54
2013-03-29	64
2013-03-30	52
2013-03-31	55
2013-04-01	57
2013-04-02	58
2013-04-03	60
2013-04-04	60
2013-04-05	66
2013-04-06	62
2013-04-07	69
2013-04-08	63
2013-04-09	69
2013-04-10	59
2013-04-11	68
2013-04-12	56
2013-04-13	53
2013-04-14	56
2013-04-15	55
2013-04-16	55
2013-04-17	64
2013-04-18	58
2013-04-19	55
2013-04-20	57
2013-04-21	41
2013-04-22	73
2013-04-23	62
2013-04-24	52
2013-04-25	57
2013-04-26	55
2013-04-27	44
2013-04-28	51
2013-04-29	56
2013-04-30	56
2013-05-01	60
2013-05-02	60
2013-05-03	56
2013-05-04	56
2013-05-05	56
2013-05-06	67
2013-05-07	64
2013-05-08	50
2013-05-09	54
2013-05-10	54
2013-05-11	43
2013-05-12	55
2013-05-13	49
2013-05-14	57
2013-05-15	58
2013-05-16	58
2013-05-17	52
2013-05-18	46
2013-05-19	46
2013-05-20	62
2013-05-21	51
2013-05-22	68
2013-05-23	65
2013-05-24	62
2013-05-25	59
2013-05-26	48
2013-05-27	61
2013-05-28	70
2013-05-29	65
2013-05-30	60
2013-05-31	63
2013-06-01	58
2013-06-02	50
2013-06-03	62
2013-06-04	58
2013-06-05	60
2013-06-06	68
2013-06-07	53
2013-06-08	42
2013-06-09	52
2013-06-10	68
2013-06-11	53
2013-06-12	56
2013-06-13	51
2013-06-14	49
2013-06-15	48
2013-06-16	55
2013-06-17	48
2013-06-18	71
2013-06-19	103
2013-06-20	88
2013-06-21	93
2013-06-22	80
2013-06-23	92
2013-06-24	90
2013-06-25	93
2013-06-26	83
2013-06-27	115
2013-06-28	86
2013-06-29	94
2013-06-30	85
2013-07-01	91
2013-07-02	112
2013-07-03	95
2013-07-04	103
2013-07-05	92
2013-07-06	86
2013-07-07	92
2013-07-08	99
2013-07-09	91
2013-07-10	82
2013-07-11	92
2013-07-12	87
2013-07-13	79
2013-07-14	80
2013-07-15	86
2013-07-16	98
2013-07-17	93
2013-07-18	97
2013-07-19	96
2013-07-20	77
2013-07-21	74
2013-07-22	96
2013-07-23	98
2013-07-24	104
2013-07-25	98
2013-07-26	101
2013-07-27	99
2013-07-28	92
2013-07-29	102
2013-07-30	111
2013-07-31	102
2013-08-01	101
2013-08-02	100
2013-08-03	86
2013-08-04	93
2013-08-05	91
2013-08-06	116
2013-08-07	95
2013-08-08	98
2013-08-09	99
2013-08-10	94
2013-08-11	95
2013-08-12	94
2013-08-13	96
2013-08-14	95
2013-08-15	100
2013-08-16	114
2013-08-17	97
2013-08-18	102
2013-08-19	97
2013-08-20	108
2013-08-21	108
2013-08-22	98
2013-08-23	103
2013-08-24	91
2013-08-25	94
2013-08-26	100
2013-08-27	87
2013-08-28	90
2013-08-29	106
2013-08-30	114
2013-08-31	78
2013-09-01	76
2013-09-02	110
2013-09-03	100
2013-09-04	97
2013-09-05	95
2013-09-06	98
2013-09-07	109
2013-09-08	81
2013-09-09	99
2013-09-10	85
2013-09-11	98
2013-09-12	100
2013-09-13	92
2013-09-14	107
2013-09-15	94
2013-09-16	105
2013-09-17	100
2013-09-18	99
2013-09-19	97
2013-09-20	81
2013-09-21	85
